Question,Equation,Answer,Numbers
Joan has saved number0 quarters from washing cars . How many cents does Joan have ?,* number0 25,150.0,6.0
number0 students were sitting at each table in the lunchroom . There are number1 tables . How many students were sitting in the lunchroom ?,* number0 number1,204.0,6.0 34.0
Mary is baking a cake . The recipe wants number0 cups of flour . She already put in number1 cups . How many cups does she need to add ?,- number0 number1,6,8.0 2.0
There are number0 books in a library . They are arranged on shelves that hold number1 books each . How many shelves are in the library ?,/ number0 number1,1780.0,14240.0 8.0
Sally bought number0 dozen eggs from the grocery store to bake some cakes . How many eggs did Sally buy ?,* number0 12,48.0,4.0
"In Shannon 's apartment complex , number0 the apartments are one - bedroom apartments and number1 are two - bedroom apartments . What fraction of the apartments are either number2 - or two - bedroom apartments ?",+ number0 number1,0.5,0.16666666666666666 0.3333333333333333 1.0
"If Joan bicycled number0 miles at number1 miles per hour , how long was Joan travelling ?",/ number0 number1,5.0,25.0 5.0
Craig starts with number0 Skittles . number1 are eaten by a hippopotamus . How many Skittles does Craig end with ?,- number0 number1,3.0,5.0 2.0
A number0 ounce can of cranberry juice sells for number1 cents . What is the cost in cents per ounce .,/ number1 number0,7.0,12.0 84.0
Each bag contains number0 pounds of oranges . How many pounds of oranges are in number1 bags ?,* number0 number1,1035.0,23.0 45.0
"Nancy went to number0 football games this month . She went to number1 games last month , and plans to go to number2 games next month . She paid number3 dollars for the tickets . How many games will she attend in all ?",+ + number0 number1 number2,24,9.0 8.0 7.0 3.0
"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit , how many extra did the cafeteria end up with ?",- + number0 number1 number2,35.0,33.0 23.0 21.0
There were number0 boys and number1 girls on the playground at recess . How many children were on the playground at recess ?,+ number0 number1,62.0,27.0 35.0
"Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Vanessa sold all but number2 bars , how much money would she have made ?",* number0 - number1 number2,16.0,4.0 11.0 7.0
Isabel bought number0 pieces of paper . She used number1 pieces of the paper . How many pieces of paper does she have left ?,- number0 number1,744.0,900.0 156.0
Debby bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures . How many pictures does she still have to color ?,- + number0 number1 number2,23.0,16.0 40.0 33.0
Charles has number0 apples . Jessica gives Charles number1 more . How many apples does Charles have in all ?,+ number0 number1,43.0,4.0 39.0
There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,+ number0 number1,83,34.0 49.0
Mrs. Hilt saw a rollercoaster . number0 students rode the rollercoaster every number1 minutes . How many students rode the rollercoaster in number2 minutes ?,* number0 / number2 number1,21.0,7.0 5.0 15.0
Sandy sold lemonade in her neighborhood . She got number0 half - dollars on Saturday and number1 half - dollars on Sunday . What amount of money did Sandy receive ?,+ * number0 0.5 * number1 0.5,11.5,17.0 6.0
"A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table , how many tables did he have ?",/ - number0 number1 number2,4.0,44.0 12.0 8.0
"Joan purchased a basketball game for $ number0 , and a racing game for $ number1 . How much did Joan spend on video games ?",+ number0 number1,9.43,5.2 4.23
Kelly had number0 apples . How many more apples does Kelly need to pick to have number1 apples altogether ?,- number1 number0,49.0,56.0 105.0
There are number0 erasers in the drawer and number1 erasers on the desk . Alyssa placed number2 erasers and number3 rulers on the desk . How many erasers are now there in total ?,+ + number0 number1 number2,117,48.0 30.0 39.0 45.0
There are number0 apples in a box . Louise has number1 apples in a bag . Scott takes number2 apples out of the box . How many apples are left in the box ?,- number0 number2,2.0,77.0 9.0 75.0
"Mrs. Hilt went to a concert . A total of number0 people attended the concert . The next week , she went to a second concert , which had number1 more people in attendance . How many people were at the second concert ?",+ number0 number1,66018.0,65899.0 119.0
"At the schools book fair Sam bought number0 adventure books and number1 mystery books . If number2 of the books were used , how many new books did he buy ?",- + number0 number1 number2,15.0,13.0 17.0 15.0
"Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?",/ + number1 number2 number0,9.0,3.0 11.0 16.0
"Tom bought a skateboard for $ number0 , and spent $ number1 on marbles . Tom also spent $ number2 on shorts . In total , how much did Tom spend on toys ?",+ number0 number1,19.02,9.46 9.56 14.5
Mary has number0 yellow marbles . Joan has number1 yellow marbles . How many yellow marbles do they have in all ?,+ number0 number1,12.0,9.0 3.0
"Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?",/ + number1 number2 number0,9.0,3.0 11.0 16.0
There are number0 crayons in the drawer . Benny placed number1 more crayons in the drawer . How many crayons are now there in total ?,+ number0 number1,12.0,9.0 3.0
Sarah 's old washing machine could only wash number0 pieces of clothing at a time . If she had to wash number1 shirts and number2 sweaters how many loads would she have to do ?,/ + number1 number2 number0,9.0,5.0 43.0 2.0
"A waitress put leftover tarts into the fridge on Thursday night . She noticed that the restaurant had number0 tart filled with cherries , number1 tart filled with blueberries , and number2 tart filled with peaches . How many leftover tarts did the restaurant have in all ?",+ + number0 number1 number2,0.9166666666666666,0.08333333333333333 0.75 0.08333333333333333
"There are number0 stickers on a page . If you have number1 pages of stickers , how many stickers do you have ?",* number0 number1,220.0,10.0 22.0
James has number0 balloons . Amy has number1 balloons . How many more balloons does James have than Amy ?,- number0 number1,709.0,1222.0 513.0
"Tom found number0 seashells and Fred found number1 seashells on the beach . When they cleaned them , they discovered that number2 were cracked . How many seashells did they find together ?",+ number0 number1,58,15.0 43.0 29.0
"The value of a sport utility vehicle this year is number0 dollars , which is number1 of what its value was last year . Find the value of the vehicle last year .",/ number0 number1,20000.0,16000.0 0.8
"Sam was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",* number2 + number0 number1,42.0,4.0 3.0 6.0
Zoe bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures . How many pictures does she still have to color ?,- + number0 number1 number2,68.0,44.0 44.0 20.0
Your class is having a pizza party . You buy number0 pizzas . Each pizza has number1 slices . How many slices is that altogether ?,* number0 number1,20.0,5.0 4.0
"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?",/ - number0 number1 number1,9.0,50.0 5.0 5.0
"Keith spent $ number0 on a rabbit toy , $ number1 on pet food , and a cage cost him $ number2 . He found a dollar bill on the ground . What was the total cost of Keith 's purchases ?",+ + number0 number1 number2,24.81,6.51 5.79 12.51
The town of Milburg has number0 grown - ups and number1 children . How many people live in Milburg ?,+ number0 number1,8243.0,5256.0 2987.0
"A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window , how long will it take him to install the rest ?",* number2 - number0 number1,24.0,12.0 6.0 4.0
Oscar 's bus ride to school is number0 mile and Charlie 's bus ride is number1 mile . How much longer is Oscar 's bus ride than Charlie 's ?,- number0 number1,0.5,0.75 0.25
"Vanessa and her mom were picking carrots from their garden . Vanessa picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",- + number0 number1 number2,7.0,17.0 14.0 24.0
It snowed number0 inches on Monday and number1 inches on Tuesday . How much did it snow on Monday and Tuesday combined ?,+ number0 number1,0.53,0.32 0.21
Mrs. Hilt uses number0 ounces of detergent to wash a pound of clothes . How many ounces of soap will she use to wash number1 pounds of clothes ?,* number0 number1,18.0,2.0 9.0
Kelly 's chemistry textbook weighs number0 pounds and her geometry textbook weighs number1 pound . How much more does the chemistry textbook weigh than the geometry textbook ?,- number0 number1,6.5,7.125 0.625
Larry starts with number0 stickers . He loses number1 . How many stickers does Larry end with ?,- number0 number1,87.0,93.0 6.0
Brian has number0 cards . Wayne takes number1 away . How many cards will Brian have ?,- number0 number1,17.0,76.0 59.0
Mike has number0 baseball cards . Sam bought number1 of Mike 's baseball cards . How many baseball cards does Mike have now ?,- number0 number1,74.0,87.0 13.0
Mr. Guzman bought number0 doughnuts packed equally into number1 boxes . How many doughnuts were in each box ?,/ number0 number1,12.0,48.0 4.0
Joan has number0 orange balloons but lost number1 of them . How many orange balloons does Joan have now ?,- number0 number1,6.0,8.0 2.0
Shirley starts with number0 eggs . She buys number1 more . How many eggs does Shirley end with ?,+ number0 number1,106.0,98.0 8.0
"Ellen had number0 Legos , but she lost number1 Legos . How many Legos does she have now ?",- number0 number1,2063.0,2080.0 17.0
There are number0 pencils in the drawer . Tim placed number1 more pencils in the drawer . How many pencils are now there in total ?,+ number0 number1,5.0,2.0 3.0
Joan bought number0 dozen eggs from the grocery store to bake some cakes . How many eggs did Joan buy ?,* number0 12,72.0,6.0
Brennan had number0 grams of pepper . Then he used number1 grams of the pepper to make some scrambled eggs . How much pepper does Brennan have left ?,- number0 number1,0.09,0.25 0.16
Rachel bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures . How many pictures does she still have to color ?,- + number0 number1 number2,11.0,23.0 32.0 44.0
"Kevin bought number0 watermelons . The first watermelon was number1 pounds , and the second watermelon was number2 pounds . How many pounds of watermelon did Kevin buy ?",+ number1 number2,14.02,2.0 9.91 4.11
number0 birds were sitting on the fence . number1 more birds came to join them . How many birds are sitting on the fence ?,+ number0 number1,6.0,2.0 4.0
"Mary found number0 seashells , Melanie found number1 seashells , and Jason found number2 seashells on the beach . When they cleaned them , they discovered that number3 were cracked . How many seashells did they find together ?",+ + number0 number1 number2,100,45.0 23.0 32.0 31.0
Sam had number0 dimes in his bank . His dad gave him number1 dimes . How many dimes does Sam have now ?,+ number0 number1,16,9.0 7.0
There are number0 dogwood trees currently in the park . Park workers will plant number1 more dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,+ number0 number1,83.0,34.0 49.0
"At the fair there were number0 people in line for the bumper cars . If number1 of them got tired of waiting and left and number2 more got in line , how many people would be in line ?",- + number0 number2 number1,11.0,7.0 4.0 8.0
"Frank had saved up number0 dollars . If he received another number1 dollars for his allowance , how many number2 dollar toys could he buy ?",/ + number0 number1 number2,5.0,3.0 37.0 8.0
Joseph has number0 candies . Kathy gives Joseph number1 more . How many candies does Joseph have in all ?,+ number0 number1,105.0,67.0 38.0
"There were number0 girls and number1 boys trying out for the schools basketball team . If only number2 of them got called back , how many students did n't make the cut ?",- + number0 number1 number2,56.0,30.0 36.0 10.0
Sam has number0 books . Joan has number1 books . How many books do they have together ?,+ number0 number1,212.0,110.0 102.0
Tom had number0 pennies and number1 dimes in his bank . His dad gave him number2 dimes and number3 nickels . How many dimes does he have now ?,+ number1 number2,48,27.0 15.0 33.0 49.0
The school is planning a field trip . There are number0 students and number1 seats on each school bus . How many buses are needed to take the trip ?,/ number0 number1,4.0,28.0 7.0
There are number0 pencils in the drawer . Mike placed number1 more pencils in the drawer . How many pencils are now there in total ?,+ number0 number1,71.0,41.0 30.0
Norma has number0 cards . She loses number1 . How many cards will Norma have ?,- number0 number1,18.0,88.0 70.0
Shawn has number0 blocks . Mildred has with number1 blocks . Mildred finds another number2 . How many blocks does Mildred end with ?,+ number1 number2,86.0,13.0 2.0 84.0
"While on vacation , Debby took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?",- + number0 number1 number2,22.0,24.0 12.0 14.0
"For his car , Mike spent $ number0 on speakers and $ number1 on new tires . Mike wanted number2 CD 's for $ number3 but decided not to . In total , how much did Mike spend on car parts ?",+ number0 number1,224.87,118.54 106.33 3.0 4.58
Martha bought number0 small cakes . She has number1 children . She would like to divide the cakes among her children so that each child gets the same amount . How many cakes would each child get ?,/ number0 number1,6.0,18.0 3.0
"Amy had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files , how many files were still on her flash drive ?",- + number0 number1 number2,14.0,26.0 36.0 48.0
Arthur has number0 cards . Aaron has with number1 cards . Aaron finds another number2 . How many cards does Aaron end with ?,+ number1 number2,67.0,6.0 5.0 62.0
Mrs. Hilt saw number0 bees in the hive . The next day she saw number1 times that many . How many bees did she see on the second day ?,* number0 number1,432.0,144.0 3.0
Sandy 's dog had number0 puppies and number1 had spots . She gave number2 to her friends . How many puppies does she now have ?,- number0 number1,4,8.0 4.0 4.0
Ruby has number0 apples . Emily takes number1 away . How many apples will Ruby have ?,- number0 number1,8.0,63.0 55.0
Fred had number0 dimes in his bank . His sister borrowed number1 of his dimes . How many dimes does Fred have now ?,- number0 number1,4,7.0 3.0
"A construction company ordered number0 of a ton of concrete , number1 of a ton of bricks , and number2 of a ton of stone . How many tons of material did the company order in all ?",+ + number0 number1 number2,0.8333333333333334,0.16666666666666666 0.16666666666666666 0.5
Ceasar needs to read a number0 page book for school . He has already read number1 pages . How many pages does he have left to read ?,- number0 number1,416.0,563.0 147.0
"Melanie picked number0 plums , Dan picked number1 plums , and Sally picked number2 plums from the plum tree . How many plums were picked in total ?",+ + number0 number1 number2,16,4.0 9.0 3.0
number0 boys went down the slide . number1 more boys went down the slide . How many boys went down the slide ?,+ number0 number1,35.0,22.0 13.0
"There were originally number0 houses in Lincoln County . During a housing boom , developers built number1 . How many houses are there now in Lincoln County ?",+ number0 number1,118558.0,20817.0 97741.0
Your class is having a pizza party . You buy number0 pizzas . Each pizza has number1 slices . How many slices is that altogether ?,* number0 number1,20.0,5.0 4.0
"Gwen and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Gwen recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?",/ + number1 number2 number0,6.0,3.0 5.0 13.0
Craig walked number0 of a mile from school to David 's house and number1 of a mile from David 's house to his own house . How many miles did Craig walk in all ?,+ number0 number1,0.9,0.2 0.7
A restaurant sold number0 hamburgers last week . How many hamburgers on average were sold each day ?,/ number0 7,9.0,63.0
Jason has number0 Pokemon cards . Alyssa bought number1 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ?,- number0 number1,452.0,676.0 224.0
Anthony has number0 pencils . Kathryn gives Anthony number1 more . How many pencils does Anthony have in all ?,+ number0 number1,65.0,9.0 56.0
Beth has number0 packs of crayons . Each pack has number1 crayons in it . She also has number2 extra crayons . How many crayons does Beth have altogether ?,* number0 number1,40.0,4.0 10.0 6.0
"If Teresa jogged number0 kilometers at number1 kilometers per hour , how long was Teresa jogging ?",/ number0 number1,5.0,25.0 5.0
"There were number0 friends playing a video game online when number1 players quit . If each player left had number2 lives , how many lives did they have total ?",* number2 - number0 number1,72.0,16.0 7.0 8.0
Jason has number0 blue and number1 red marbles . Tom has number2 blue marbles . How many blue marbles do they have in all ?,+ number0 number2,67,43.0 16.0 24.0
Joan has number0 blue balloons but lost number1 of them . How many blue balloons does Joan have now ?,- number0 number1,7.0,9.0 2.0
"Emily 's team won their dodgeball game and scored number0 points total . If Emily scored number1 of the points and everyone else scored number2 points each , how many players were on her team ?",/ - number0 number1 number2,8.0,39.0 23.0 2.0
A carpenter bought a piece of wood that was number0 centimeters long . Then he sawed number1 centimeters off the end . How long is the piece of wood now ?,- number0 number1,6.6,8.9 2.3
"Jack has a section filled with short story booklets . If each booklet has number0 pages and there are number1 booklets in the short story section , how many pages will Jack need to go through if he plans to read them all ?",* number0 number1,441.0,9.0 49.0
There are number0 pencils and number1 rulers in the drawer . Sally took number2 pencils out of the drawer . How many pencils are there now ?,- number0 number1,5,9.0 4.0 4.0
Priya needs number0 cupcakes for a birthday party . She already has number1 chocolate cupcakes and number2 vanilla cupcakes . How many more cupcakes should Priya buy ?,- number0 + number1 number2,14.0,54.0 15.0 25.0
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,- + number0 number2 number1,37.0,31.0 5.0 11.0
"Isabel was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars , how much money did she earn ?",* number2 + number0 number1,36.0,3.0 3.0 6.0
Tom found number0 seashells on the beach . he gave Jessica number1 of the seashells . How many seashells does he now have ?,- number0 number1,3,5.0 2.0
"Robin uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album , how many pictures were in each of the albums ?",/ + number0 number1 number2,4.0,31.0 5.0 9.0
Brenda wants to split a collection of erasers into groups of number0 . Brenda has number1 erasers . How many groups will be created ?,/ number1 number0,3.0,90.0 270.0
"Kaleb was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",* number2 + number0 number1,40.0,5.0 5.0 4.0
"number0 children were riding on the bus . At the bus stop , some more children got on the bus . Then there were number1 children altogether on the bus . How many children got on the bus at the bus stop ?",- number1 number0,14.0,64.0 78.0
"Maria was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies , how many baggies could she make ?",/ + number1 number2 number0,3.0,8.0 5.0 19.0
"Joan 's high school played number0 baseball games this year , number1 of the games were played at night . She attended number2 games . How many baseball games did Joan miss ?",- number0 number2,469,864.0 128.0 395.0
"Bobby ate number0 pieces of candy . Then , he ate number1 more . How many pieces of candy did Bobby eat ?",+ number0 number1,43.0,26.0 17.0
"A farmer started the day with number0 buckets of seeds . After spending the morning sowing seeds , she now has number1 buckets . How many buckets of seeds did the farmer sow ?",- number0 number1,2.75,8.75 6.0
"At a pizza party , Mason and his friends drank number0 bottles of lemon - lime soda and number1 bottles of cola . How much soda did they drink in all ?",+ number0 number1,5.333333333333333,2.6666666666666665 2.6666666666666665
"Mike picked number0 apples , Nancy picked number1 apples , and Keith picked number2 apples and number3 pears , at the farm . How many apples were picked in total ?",+ + number0 number1 number2,16,7.0 3.0 6.0 4.0
George was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours . How much money did George make in those two days ?,* number0 + number1 number2,45.0,5.0 7.0 2.0
"A waiter had number0 customers to wait on . If number1 customers left and he got another number2 customers , how many customers would he have ?",- + number0 number2 number1,26.0,47.0 41.0 20.0
Tim 's cat had kittens . He gave number0 to Jessica and number1 to Sara . He now has number2 kittens . How many kittens did he have to start with ?,+ + number0 number1 number2,18,3.0 6.0 9.0
There are number0 baskets . There are number1 apples in each basket . How many apples are there in all ?,* number0 number1,629.0,37.0 17.0
"Joan joined her school 's band . She bought a trumpet for $ number0 , a music tool for $ number1 , and a song book which was $ number2 . Joan found $ number3 in her pocket . How much did Joan spend at the music store ?",+ + number0 number1 number2,163.28,149.16 9.98 4.14 8.65
Benny has number0 blue marbles . Keith has number1 times more blue marbles than Benny . How many blue marbles does Keith have ?,* number0 number1,30.0,6.0 5.0
Sarah picked number0 apples . Her brother picked number1 apples . How many times as many apples did Sarah pick ?,/ number0 number1,5.0,45.0 9.0
"You want to give your baseball cards to your number0 best friends . You have number1 baseball cards . How many would each get , if you share them equally ?",/ number1 number0,91.0,5.0 455.0
A chocolate chip cookie recipe calls for number0 cups of chocolate chips . You want to make number1 recipes for a bake sale . How many cups of chocolate chips will be needed to make all the cookie recipes ?,* number0 number1,46.0,2.0 23.0
"At the fair there were number0 people in line for the bumper cars . If number1 of them got tired of waiting and left and number2 more got in line , how many people would be in line ?",- + number0 number1 number1,31.0,31.0 25.0 25.0
Helen starts with number0 cards . Gary takes number1 away . How many cards does Helen end with ?,- number0 number1,73.0,82.0 9.0
Iesha has number0 books . number1 are about school and the rest are about sports . How many books about sports does Iesha have ?,- number0 number1,39.0,58.0 19.0
"A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window , how long will it take him to install the rest ?",* number2 - number0 number1,36.0,14.0 5.0 4.0
Jason has number0 Pokemon cards . Benny bought number1 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ?,- number0 number1,1,3.0 2.0
"John had number0 dollars . At the store he spent $ number1 on a new game . If he got another number2 dollars for his allowance , how much money does he have now ?",- + number0 number2 number1,29.0,5.0 2.0 26.0
"Jerry made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week , how long would the money last him ?",/ + number0 number1 number2,9.0,14.0 31.0 5.0
"A teacher had number0 worksheets to grade . If she graded number1 , but then another number2 were turned in , how many worksheets would she have to grade ?",- + number0 number2 number1,33.0,29.0 25.0 29.0
"Ashley sold number0 boxes of Samoas . How many cases of number1 boxes , plus extra boxes does Ashley need ?",/ number0 number1,1.0,12.0 12.0
Ruth starts with number0 apples . She shares number1 with Peter . How many apples does Ruth end with ?,- number0 number1,84.0,89.0 5.0
There are number0 scissors and number1 pencils in the drawer . Jason placed number2 scissors in the drawer . How many scissors are now there in total ?,+ number0 number2,9,5.0 3.0 4.0
Melissa scored number0 points in each game . How many points did she score in number1 games ?,* number0 number1,1200.0,120.0 10.0
There are number0 bottle caps in a box . Marvin takes number1 bottle caps . How many are left ?,- number0 number1,10.0,16.0 6.0
Rupert and Ronald aced their math test . So their mother bought for them a wonderful trampoline yesterday . Ronald jumped number0 times on the trampoline . Rupert jumped number1 more times than Ronald . How many times did they jump altogether ?,+ number0 number1,243.0,157.0 86.0
Mrs. Hilt ate number0 apples every hour . How many apples had she eaten at the end of number1 hours ?,* number0 number1,15.0,5.0 3.0
"Kaleb had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads . How many pieces of clothing could go in each of the small loads ?",/ - number0 number1 number2,4.0,39.0 19.0 5.0
"Mike had number0 video games but number1 of them were n't working . If he wanted to sell the working games for $ number2 each , how much money could he earn ?",* number2 - number0 number1,30.0,15.0 9.0 5.0
Mika had number0 stickers . She bought number1 stickers from a store in the mall and got number2 stickers for her birthday . Then Mika gave number3 of the stickers to her sister and used number4 to decorate a greeting card . How many stickers does Mika have left ?,- + + number0 number1 number0 + number3 number4,2.0,20.0 26.0 20.0 6.0 58.0
Kate has number0 pennies . John has number1 pennies . How many more pennies does John have ?,- number1 number0,165.0,223.0 388.0
John needs $ number0 . He has $ number1 . How much more money does he need ?,- number0 number1,1.75,2.5 0.75
Donna weighs number0 pounds . Willie weighs number1 pounds . How much heavier is Donna than Willie ?,- number0 number1,18.0,69.0 51.0
Charles has number0 Skittles . Diana takes number1 away . How many Skittles will Charles have ?,- number0 number1,18.0,25.0 7.0
Sally had number0 quarters in her bank . She spent number1 of her quarters . How many quarters does she have now ?,- number0 number1,342.0,760.0 418.0
There are number0 pencils in the drawer . Sara placed number1 pencils in the drawer . How many pencils are now there in all ?,+ number0 number1,215,115.0 100.0
Willie starts with number0 stickers . He gives number1 to Emily . How many stickers does Willie end with ?,- number0 number1,29.0,36.0 7.0
"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each , how many tables do they need ?",/ - number0 number1 number2,5.0,45.0 35.0 2.0
The school is planning a field trip . There are number0 students and number1 seats on each school bus . How many buses are needed to take the trip ?,/ number0 number1,7.0,14.0 2.0
"For the fifth grade play , the chairs have been put into number0 rows with number1 chairs in each row . How many chairs have been put out for the play ?",* number0 number1,432.0,27.0 16.0
Charlie has number0 more snowballs than Lucy . She has number1 snowballs . How many does Charlie have ?,+ number0 number1,50.0,31.0 19.0
Mary starts with number0 eggs . She finds another number1 . How many eggs does Mary end with ?,+ number0 number1,31.0,27.0 4.0
"A bathing suit manufacturer has a supply of number0 bathing suits for men . In addition , it has number1 bathing suits for women . How many bathing suits are available overall ?",+ number0 number1,19766.0,14797.0 4969.0
Sam had number0 dimes in his bank . His dad gave him number1 more dimes . How many dimes does Sam have now ?,+ number0 number1,16.0,9.0 7.0
A chef bought number0 kilograms of almonds and number1 kilograms of pecans . How many kilograms of nuts did the chef buy in all ?,+ number0 number1,0.52,0.14 0.38
Mrs. Santiago has number0 red roses . Mrs. Garrett has number1 . How many more red roses does Mrs. Santiago have than Mrs. Garrett ?,- number0 number1,34.0,58.0 24.0
Mrs. Hilt reads number0 books a day . How many books does she read in number1 days ?,* number0 number1,15.0,5.0 3.0
"Sally found number0 seashells , Tom found number1 seashells , and Jessica found number2 seashells on the beach . How many seashells did they find together ?",+ + number0 number1 number2,21,9.0 7.0 5.0
"While playing a video game , Paul scored number0 points . He and his cousin together have a total of number1 points . How many points does Paul 's cousin have ?",- number1 number0,2713.0,3103.0 5816.0
Elisa has number0 dollars . How many more dollars does she have to earn to have number1 dollars ?,- number1 number0,16.0,37.0 53.0
Mildred collects number0 oranges . Mildred 's father gives Mildred number1 more . How many oranges does Mildred have ?,+ number0 number1,79.0,77.0 2.0
Jack is inviting number0 friends to a party . He has number1 cookies . How many cookies will each friend get ?,/ number1 number0,1.0,4.0 4.0
Nicole found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was number0 inches long and the orange caterpillar was number1 inches long . How much longer was the green caterpillar than the orange caterpillar ?,- number0 number1,1.8333333333333335,3.0 1.1666666666666667
"number0 people are going to the zoo , and there are number1 buses to take people . How many will go in each bus if the same number go in each one and all of the people go to the zoo ?",/ number0 number1,73.0,219.0 3.0
Darnel sprinted number0 lap and then took a break by jogging number1 lap . How much farther did Darnel sprint than jog ?,- number0 number1,0.125,0.875 0.75
